date/YYYYMMDD,time/HH,at/C,slp/hPa,wdNcw/deg,ws/ms-1,dongsiPM2.5,nongzhanguanPM2.5
2015/11/8,12,3.7,1026.1,220.0,1.0,90.0,93.0
2015/11/8,15,2.9,1026.5,250.0,1.0,91.0,81.0
2015/11/8,18,5.1,1026.6,290.0,2.0,90.0,89.0
2015/11/8,21,4.9,1026.5,220.0,1.0,147.0,161.0
2015/11/9,0,4.9,1028.3,200.0,2.0,139.0,158.0
2015/11/9,3,6.0,1028.6,250.0,2.0,107.0,152.0
2015/11/9,6,6.3,1027.2,200.0,2.0,122.0,119.0
2015/11/9,9,6.7,1027.7,250.0,2.0,153.0,154.0
2015/11/9,12,6.3,1029.0,220.0,1.0,159.0,160.0
2015/11/9,15,6.3,1029.4,270.0,1.0,128.0,134.0
2015/11/9,18,6.0,1029.6,270.0,1.0,116.0,119.0
2015/11/9,21,5.9,1029.4,180.0,1.0,163.0,138.0
2015/11/10,0,6.1,1030.5,160.0,1.0,159.0,154.0
2015/11/10,3,6.0,1030.4,180.0,1.0,145.0,151.0
2015/11/10,6,5.9,1028.7,180.0,2.0,135.0,144.0
2015/11/10,9,6.0,1028.8,180.0,1.0,112.0,127.0
2015/11/10,12,6.2,1029.8,200.0,1.0,156.0,150.0
2015/11/10,15,6.2,1030.7,200.0,1.0,165.0,163.0
2015/11/10,18,6.0,1030.7,220.0,1.0,164.0,160.0
2015/11/10,21,5.9,1030.0,220.0,1.0,73.0,159.0
2015/11/11,0,6.3,1031.4,90.0,1.0,104.0,144.0
2015/11/11,3,7.3,1031.8,140.0,1.0,57.0,90.0
2015/11/11,6,7.2,1031.1,180.0,2.0,100.0,98.0
2015/11/11,9,7.1,1031.1,70.0,1.0,119.0,79.0
2015/11/11,12,6.9,1031.9,200.0,2.0,115.0,128.0
2015/11/11,15,6.9,1032.3,270.0,1.0,149.0,126.0
2015/11/11,18,6.2,1031.9,70.0,1.0,132.0,138.0
2015/11/11,21,6.4,1031.4,40.0,1.0,102.0,125.0
2015/11/12,0,6.8,1031.8,200.0,1.0,120.0,149.0
2015/11/12,3,7.3,1031.9,200.0,3.0,172.0,159.0
2015/11/12,6,7.7,1029.3,180.0,2.0,199.0,213.0
2015/11/12,9,7.9,1028.5,160.0,1.0,187.0,197.0
2015/11/12,12,7.8,1028.2,180.0,1.0,205.0,199.0
2015/11/12,15,7.2,1027.4,200.0,1.0,231.0,221.0
2015/11/12,18,5.5,1026.1,180.0,1.0,191.0,204.0
2015/11/12,21,6.1,1024.7,270.0,1.0,153.0,161.0
2015/11/13,0,6.6,1024.7,20.0,1.0,184.0,186.0
2015/11/13,3,8.1,1023.6,90.0,1.0,203.0,217.0
2015/11/13,6,9.3,1020.7,200.0,1.0,194.0,234.0
2015/11/13,9,9.3,1020.0,220.0,1.0,227.0,227.0
2015/11/13,12,8.3,1020.0,60.0,1.0,191.0,249.0
2015/11/13,15,8.4,1019.1,270.0,1.0,245.0,254.0
2015/11/13,18,7.9,1017.8,200.0,1.0,193.0,261.0
2015/11/13,21,6.8,1016.7,220.0,1.0,234.0,263.0
2015/11/14,0,7.4,1016.8,250.0,1.0,236.0,240.0
2015/11/14,3,9.2,1016.6,200.0,2.0,270.0,
2015/11/14,6,9.9,1015.1,220.0,2.0,365.0,365.0
2015/11/14,9,10.1,1015.5,200.0,1.0,309.0,294.0
2015/11/14,12,9.6,1017.0,220.0,2.0,293.0,276.0
2015/11/14,15,8.9,1017.9,200.0,3.0,279.0,245.0
2015/11/14,18,8.8,1018.7,220.0,1.0,285.0,284.0
2015/11/14,21,6.7,1018.8,350.0,2.0,246.0,252.0
2015/11/15,0,6.4,1020.6,70.0,1.0,261.0,242.0
2015/11/15,3,10.4,1021.3,40.0,2.0,213.0,221.0
2015/11/15,6,12.5,1020.0,70.0,3.0,174.0,174.0
2015/11/15,9,11.0,1021.2,90.0,2.0,261.0,256.0
2015/11/15,12,10.2,1023.6,110.0,2.0,245.0,237.0
2015/11/15,15,9.1,1023.5,110.0,1.0,48.0,44.0
2015/11/15,18,7.3,1022.8,290.0,2.0,36.0,42.0
2015/11/15,21,6.7,1021.7,320.0,1.0,40.0,41.0
2015/11/16,0,6.7,1021.7,40.0,1.0,39.0,54.0
2015/11/16,3,8.7,1021.0,360.0,1.0,53.0,40.0
2015/11/16,6,9.6,1019.0,220.0,2.0,70.0,72.0
2015/11/16,9,8.4,1019.8,220.0,3.0,46.0,53.0
2015/11/16,12,6.1,1021.0,250.0,1.0,71.0,68.0
2015/11/16,15,3.6,1022.0,200.0,1.0,72.0,66.0
2015/11/16,18,1.5,1022.3,360.0,1.0,77.0,71.0
2015/11/16,21,1.4,1024.1,270.0,1.0,88.0,87.0
2015/11/17,0,3.7,1026.3,70.0,1.0,55.0,
2015/11/17,3,9.3,1028.1,20.0,3.0,20.0,17.0
2015/11/17,6,9.6,1026.9,90.0,2.0,19.0,23.0
2015/11/17,9,7.1,1028.6,160.0,4.0,79.0,73.0
2015/11/17,12,6.0,1029.6,160.0,2.0,43.0,47.0
2015/11/17,15,4.8,1029.0,220.0,3.0,49.0,46.0
2015/11/17,18,4.6,1029.9,200.0,2.0,53.0,53.0
2015/11/17,21,2.8,1029.7,220.0,3.0,40.0,42.0
2015/11/18,0,2.6,1029.0,180.0,2.0,43.0,40.0
2015/11/18,3,3.6,1028.9,200.0,2.0,69.0,
2015/11/18,6,4.8,1026.5,250.0,2.0,76.0,70.0
2015/11/18,9,4.8,1025.4,220.0,3.0,73.0,79.0
2015/11/18,12,5.0,1026.0,200.0,2.0,78.0,73.0
2015/11/18,15,5.1,1026.4,180.0,2.0,82.0,86.0
2015/11/18,18,4.9,1025.5,220.0,2.0,91.0,87.0
2015/11/18,21,4.3,1024.8,220.0,1.0,81.0,79.0
2015/11/19,0,4.6,1026.2,220.0,2.0,83.0,83.0
2015/11/19,3,5.0,1026.4,70.0,1.0,81.0,102.0
2015/11/19,6,5.0,1025.2,140.0,2.0,53.0,52.0
2015/11/19,9,3.1,1026.4,90.0,4.0,70.0,82.0
