,index,shunt,shunt_v,source,source_v,bias,millisecs,current_a,power_w,secs
202,202,439,0.30835,1673,1.212158,18,2050041,0.0881,0.1067911198,2050.041
203,203,435,0.30542,1672,1.211426,18,2060042,0.08726285714285716,0.10571249397714286,2060.042
204,204,426,0.298828,1676,1.214355,18,2070042,0.08537942857142856,0.10368093598285714,2070.042
205,205,454,0.320068,1674,1.213623,17,2080042,0.091448,0.11098339610399999,2080.042
206,206,584,0.414551,1665,1.206299,18,2090042,0.11844314285714286,0.1428778447854286,2090.042
207,207,427,0.299561,1675,1.213623,18,2100042,0.08558885714285715,0.10387260557228571,2100.042
208,208,428,0.300293,1676,1.214355,18,2110043,0.085798,0.10418923029,2110.043
209,209,482,0.339844,1668,1.208496,18,2120043,0.0970982857142857,0.11734288989257143,2120.043
210,210,454,0.319336,1674,1.212891,18,2130043,0.09123885714285715,0.11066278867885715,2130.043
211,211,450,0.316406,1676,1.214355,18,2140043,0.0904017142857143,0.10977977375142858,2140.043
212,212,453,0.318604,1675,1.213623,18,2150043,0.09102971428571428,0.11047575494057142,2150.043
213,213,452,0.317871,1672,1.211426,18,2160043,0.09082028571428571,0.11002205544171427,2160.043
214,214,450,0.315674,1672,1.210693,19,2170044,0.09019257142857143,0.10919551488057143,2170.044
215,215,452,0.317871,1672,1.211426,18,2180044,0.09082028571428571,0.11002205544171427,2180.044
216,216,457,0.321533,1673,1.212158,18,2190044,0.09186657142857144,0.1113567994897143,2190.044
217,217,454,0.319336,1671,1.210693,18,2200044,0.09123885714285715,0.11046224567085715,2200.044
218,218,453,0.318604,1674,1.212891,18,2210044,0.09102971428571428,0.11040912118971427,2210.044
219,219,448,0.314941,1670,1.209961,18,2220045,0.08998314285714286,0.10887609351457143,2220.045
220,220,445,0.312744,1672,1.211426,18,2230045,0.08935542857142857,0.10824748941257142,2230.045
221,221,449,0.315674,1670,1.209961,18,2240045,0.09019257142857143,0.10912949391828572,2240.045
222,222,449,0.315674,1673,1.212158,18,2250045,0.09019257142857143,0.10932764699771429,2250.045
223,223,444,0.312012,1672,1.211426,18,2260045,0.08914628571428572,0.10799412831771428,2260.045
224,224,448,0.314941,1670,1.209961,18,2270046,0.08998314285714286,0.10887609351457143,2270.046
225,225,441,0.310547,1673,1.212891,17,2280046,0.08872771428571428,0.10761704610771428,2280.046
226,226,443,0.311279,1673,1.212158,18,2290046,0.08893685714285714,0.10780552288057142,2290.046
227,227,452,0.318604,1669,1.209961,17,2300046,0.09102971428571428,0.11014240412685715,2300.046
228,228,445,0.312744,1672,1.211426,18,2310046,0.08935542857142857,0.10824748941257142,2310.046
229,229,448,0.314941,1670,1.209961,18,2320046,0.08998314285714286,0.10887609351457143,2320.046
230,230,442,0.310547,1670,1.209961,18,2330047,0.08872771428571428,0.10735707390485714,2330.047
231,231,441,0.309814,1673,1.212158,18,2340047,0.0885182857142857,0.10729814817485714,2340.047
232,232,440,0.309082,1673,1.212158,18,2350047,0.08830914285714286,0.10704463398742858,2350.047
233,233,443,0.311279,1672,1.211426,18,2360047,0.08893685714285714,0.10774042110114285,2360.047
234,234,447,0.314209,1671,1.210693,18,2370047,0.089774,0.10868875338200001,2370.047
235,235,450,0.316406,1672,1.211426,18,2380048,0.0904017142857143,0.10951498713028572,2380.048
236,236,446,0.313477,1669,1.209229,18,2390048,0.08956485714285714,0.10830442263800001,2390.048
237,237,441,0.309814,1673,1.212158,18,2400048,0.0885182857142857,0.10729814817485714,2400.048
238,238,445,0.312744,1671,1.210693,18,2410048,0.08935542857142857,0.10818199188342857,2410.048
239,239,445,0.312744,1669,1.209229,18,2420048,0.08935542857142857,0.10805117553600001,2420.048
240,240,446,0.313477,1670,1.209961,18,2430049,0.08956485714285714,0.10836998411342857,2430.049
241,241,456,0.320801,1670,1.209961,18,2440049,0.09165742857142857,0.1109019139317143,2440.049
242,242,452,0.317871,1670,1.209961,18,2450049,0.09082028571428571,0.10988900372314286,2450.049
243,243,467,0.328857,1668,1.208496,18,2460049,0.09395914285714287,0.11354924830628572,2460.049
244,244,444,0.312012,1673,1.212158,18,2470049,0.08914628571428572,0.10805938339885715,2470.049
245,245,435,0.30542,1668,1.208496,18,2480049,0.08726285714285716,0.1054568138057143,2480.049
246,246,431,0.30249,1672,1.211426,18,2490050,0.08642571428571429,0.1046983573542857,2490.05
247,247,441,0.309814,1670,1.209961,18,2500050,0.0885182857142857,0.10710367350114285,2500.05
248,248,442,0.310547,1670,1.209961,18,2510050,0.08872771428571428,0.10735707390485714,2510.05
249,249,444,0.312012,1672,1.211426,18,2520050,0.08914628571428572,0.10799412831771428,2520.05
250,250,445,0.312744,1669,1.209229,18,2530050,0.08935542857142857,0.10805117553600001,2530.05
251,251,441,0.309814,1672,1.211426,18,2540051,0.0885182857142857,0.10723335278971426,2540.051
252,252,436,0.306152,1670,1.209961,18,2550051,0.087472,0.105837708592,2550.051
253,253,432,0.303223,1668,1.208496,18,2560051,0.08663514285714287,0.10469822360228573,2560.051
254,254,433,0.303955,1672,1.211426,18,2570051,0.08684428571428571,0.10520542566571427,2570.051
